NAME                INSTALLED                FIXED IN                 TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-10536    Critical    0.5% (40th)    0.5           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-10536    Critical    0.5% (40th)    0.5           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2023-45322    Medium      0.8% (54th)    0.5           
libc-bin            2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5450     Critical    0.5% (40th)    0.5           
libc6               2.36-9+deb12u7           (won't fix)              deb   CVE-2026-5450     Critical    0.5% (40th)    0.5           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-5773     High        0.6% (46th)    0.5           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2026-5773     High        0.6% (46th)    0.5           
libaom3             3.6.0-1                  (won't fix)              deb   CVE-2023-39616    High        0.6% (46th)    0.5           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40355    High        0.6% (46th)    0.5           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40355    High        0.6% (46th)    0.5           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40355    High        0.6% (46th)    0.5           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40355    High        0.6% (46th)    0.5           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40356    High        0.6% (45th)    0.5           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40356    High        0.6% (45th)    0.5           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40356    High        0.6% (45th)    0.5           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u5         deb   CVE-2026-40356    High        0.6% (45th)    0.5           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45445    High        0.6% (45th)    0.5           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-45445    High        0.6% (45th)    0.5           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2025-32415    High        0.6% (45th)    0.5           
libgssapi-krb5-2    1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2025-24528    High        0.6% (45th)    0.4           
libk5crypto3        1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2025-24528    High        0.6% (45th)    0.4           
libkrb5-3           1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2025-24528    High        0.6% (45th)    0.4           
libkrb5support0     1.20.1-2+deb12u1         1.20.1-2+deb12u3         deb   CVE-2025-24528    High        0.6% (45th)    0.4           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-9076     High        0.6% (45th)    0.4           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-9076     High        0.6% (45th)    0.4           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u10       deb   CVE-2024-11053    Low         1.4% (69th)    0.4           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u10       deb   CVE-2024-11053    Low         1.4% (69th)    0.4           
perl-base           5.36.0-7+deb12u1         5.36.0-7+deb12u2         deb   CVE-2024-56406    High        0.5% (42nd)    0.4           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u6  deb   CVE-2026-0990     Medium      0.8% (52nd)    0.4           
libtiff6            4.5.0-6+deb12u1          4.5.0-6+deb12u4          deb   CVE-2026-4775     High        0.6% (43rd)    0.4           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-0915     High        0.6% (43rd)    0.4           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2026-0915     High        0.6% (43rd)    0.4           
libssh2-1           1.10.0-3+b1              (won't fix)              deb   CVE-2026-7598     Critical    0.5% (38th)    0.4           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u11          deb   CVE-2025-4802     High        0.6% (43rd)    0.4           
libc6               2.36-9+deb12u7           2.36-9+deb12u11          deb   CVE-2025-4802     High        0.6% (43rd)    0.4           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-3833     High        0.6% (43rd)    0.4           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u8        deb   CVE-2024-8096     Medium      0.7% (50th)    0.4           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u8        deb   CVE-2024-8096     Medium      0.7% (50th)    0.4           
libheif1            1.15.1-1                                          deb   CVE-2026-32740    High        0.5% (41st)    0.4           
perl-base           5.36.0-7+deb12u1         (won't fix)              deb   CVE-2026-8376     Critical    0.4% (36th)    0.4           
libdav1d6           1.0.0-2+deb12u1          (won't fix)              deb   CVE-2023-32570    Medium      0.7% (51st)    0.4           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8927     Critical    0.4% (36th)    0.4           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8927     Critical    0.4% (36th)    0.4           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6253     Medium      0.7% (50th)    0.4           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-6253     Medium      0.7% (50th)    0.4           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-13221    Critical    0.4% (35th)    0.4           
perl-base           5.36.0-7+deb12u1         (won't fix)              deb   CVE-2026-42496    Critical    0.4% (35th)    0.4           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2023-39615    Medium      0.7% (48th)    0.4           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42015    Medium      0.7% (50th)    0.4           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u3          deb   CVE-2024-28834    Medium      0.7% (50th)    0.4           
libsystemd0         252.22-1~deb12u1         252.38-1~deb12u1         deb   CVE-2025-4598     Medium      0.7% (51st)    0.4           
libudev1            252.22-1~deb12u1         252.38-1~deb12u1         deb   CVE-2025-4598     Medium      0.7% (51st)    0.4           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u5          deb   CVE-2025-6395     Medium      0.6% (46th)    0.4           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-14819    Medium      0.7% (49th)    0.4           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-14819    Medium      0.7% (49th)    0.4           
nginx               1.25.5-1~bookworm                                 deb   CVE-2026-56434    High        0.4% (37th)    0.4           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42011    High        0.5% (38th)    0.4           
libldap-2.5-0       2.5.13+dfsg-5                                     deb   CVE-2017-17740    Negligible  7.0% (93rd)    0.4           
libssh2-1           1.10.0-3+b1                                       deb   CVE-2026-58051    High        0.4% (36th)    0.3           
libtinfo6           6.4-4                    (won't fix)              deb   CVE-2025-69720    High        0.4% (36th)    0.3           
ncurses-base        6.4-4                    (won't fix)              deb   CVE-2025-69720    High        0.4% (36th)    0.3           
ncurses-bin         6.4-4                    (won't fix)              deb   CVE-2025-69720    High        0.4% (36th)    0.3           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-12087    Critical    0.4% (30th)    0.3           
perl-base           5.36.0-7+deb12u1         (won't fix)              deb   CVE-2026-9538     High        0.4% (37th)    0.3           
libheif1            1.15.1-1                                          deb   CVE-2026-47247    High        0.4% (36th)    0.3           
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-57433    Critical    0.4% (28th)    0.3           
libxml2             2.9.14+dfsg-1.3~deb12u1  (won't fix)              deb   CVE-2026-6653     Critical    0.4% (28th)    0.3           
libexpat1           2.5.0-1                                           deb   CVE-2026-45186    High        0.4% (36th)    0.3           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u7          deb   CVE-2026-42013    High        0.4% (35th)    0.3           
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69419    High        0.4% (36th)    0.3           
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69419    High        0.4% (36th)    0.3           
libaom3             3.6.0-1                                           deb   CVE-2026-56211    High        0.5% (37th)    0.3           
libc-bin            2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2025-15281    High        0.4% (36th)    0.3           
libc6               2.36-9+deb12u7           2.36-9+deb12u14          deb   CVE-2025-15281    High        0.4% (36th)    0.3           
libgnutls30         3.7.9-2+deb12u2          3.7.9-2+deb12u6          deb   CVE-2025-14831    Medium      0.6% (47th)    0.3           
libpam-modules      1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2025-6020     High        0.4% (35th)    0.3           
libpam-modules-bin  1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2025-6020     High        0.4% (35th)    0.3           
libpam-runtime      1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2025-6020     High        0.4% (35th)    0.3           
libpam0g            1.5.2-6+deb12u1          1.5.2-6+deb12u2          deb   CVE-2025-6020     High        0.4% (35th)    0.3           
curl                7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-14524    Medium      0.6% (46th)    0.3           
libcurl4            7.88.1-10+deb12u5        7.88.1-10+deb12u15       deb   CVE-2025-14524    Medium      0.6% (46th)    0.3           
libssl3             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-34182    Critical    0.4% (27th)    0.3           
openssl             3.0.11-1~deb12u2         3.0.20-1~deb12u2         deb   CVE-2026-34182    Critical    0.4% (27th)    0.3           
dpkg                1.21.22                  1.21.23                  deb   CVE-2026-2219     High        0.4% (34th)    0.3           
perl-base           5.36.0-7+deb12u1         (won't fix)              deb   CVE-2026-42497    High        0.4% (34th)    0.3           
libssl3             3.0.11-1~deb12u2         (won't fix)              deb   CVE-2026-42767    Medium      0.6% (43rd)    0.3           
openssl             3.0.11-1~deb12u2         (won't fix)              deb   CVE-2026-42767    Medium      0.6% (43rd)    0.3           
libavif15           0.11.1-1                 0.11.1-1+deb12u1         deb   CVE-2025-48174    Critical    0.3% (25th)    0.3           
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-41080    High        0.4% (32nd)    0.3           
libpng16-16         1.6.39-2                 1.6.39-2+deb12u1         deb   CVE-2025-64720    High        0.4% (33rd)    0.3           
curl                7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8932     High        0.4% (32nd)    0.3           
libcurl4            7.88.1-10+deb12u5        (won't fix)              deb   CVE-2026-8932     High        0.4% (32nd)    0.3           
libc-bin            2.36-9+deb12u7                                    deb   CVE-2018-20796    Negligible  5.8% (92nd)    0.3           
libc6               2.36-9+deb12u7                                    deb   CVE-2018-20796    Negligible  5.8% (92nd)    0.3           
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u2  deb   CVE-2025-24928    High        0.4% (30th)    0.3           
