NAME                INSTALLED                FIXED IN                 TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libblkid1           2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
libmount1           2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
libsmartcols1       2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
libuuid1            2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
mount               2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
util-linux          2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
util-linux-extra    2.38.1-5+deb12u1         (won't fix)              deb   CVE-2026-27456    Medium      0.1% (1st)     < 0.1         
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u3  deb   CVE-2025-6170     Low         0.2% (10th)    < 0.1         
gzip                1.12-1                   (won't fix)              deb   CVE-2026-41991    Medium      0.1% (1st)     < 0.1         
bsdutils            1:2.38.1-5+deb12u1                                deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
libblkid1           2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
libmount1           2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
libsmartcols1       2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
libuuid1            2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
mount               2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
util-linux          2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
util-linux-extra    2.38.1-5+deb12u1                                  deb   CVE-2026-13595    Medium      0.1% (1st)     < 0.1         
libgssapi-krb5-2    1.20.1-2+deb12u1                                  deb   CVE-2024-26461    Negligible  1.1% (63rd)    < 0.1         
libk5crypto3        1.20.1-2+deb12u1                                  deb   CVE-2024-26461    Negligible  1.1% (63rd)    < 0.1         
libkrb5-3           1.20.1-2+deb12u1                                  deb   CVE-2024-26461    Negligible  1.1% (63rd)    < 0.1         
libkrb5support0     1.20.1-2+deb12u1                                  deb   CVE-2024-26461    Negligible  1.1% (63rd)    < 0.1         
libgcrypt20         1.10.1-3                                          deb   CVE-2024-2236     Negligible  1.1% (63rd)    < 0.1         
libsystemd0         252.22-1~deb12u1         (won't fix)              deb   CVE-2026-40228    Low         0.2% (6th)     < 0.1         
libudev1            252.22-1~deb12u1         (won't fix)              deb   CVE-2026-40228    Low         0.2% (6th)     < 0.1         
libssl3             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69418    Medium      0.1% (1st)     < 0.1         
openssl             3.0.11-1~deb12u2         3.0.18-1~deb12u2         deb   CVE-2025-69418    Medium      0.1% (1st)     < 0.1         
gpgv                2.2.40-1.1               (won't fix)              deb   CVE-2025-68972    Medium      0.1% (1st)     < 0.1         
libxml2             2.9.14+dfsg-1.3~deb12u1  2.9.14+dfsg-1.3~deb12u6  deb   CVE-2025-8732     Low         0.2% (10th)    < 0.1         
tar                 1.34+dfsg-1.2+deb12u1                             deb   CVE-2026-18477    Medium      0.1% (1st)     < 0.1         
login               1:4.13+dfsg1-1+b1                                 deb   CVE-2007-5686     Negligible  0.9% (57th)    < 0.1         
passwd              1:4.13+dfsg1-1+b1                                 deb   CVE-2007-5686     Negligible  0.9% (57th)    < 0.1         
libtiff6            4.5.0-6+deb12u1          (won't fix)              deb   CVE-2024-13978    Low         0.2% (8th)     < 0.1         
libexpat1           2.5.0-1                  (won't fix)              deb   CVE-2026-24515    Low         0.2% (6th)     < 0.1         
gcc-12-base         12.2.0-14                                         deb   CVE-2022-27943    Negligible  0.9% (56th)    < 0.1         
libgcc-s1           12.2.0-14                                         deb   CVE-2022-27943    Negligible  0.9% (56th)    < 0.1         
libstdc++6          12.2.0-14                                         deb   CVE-2022-27943    Negligible  0.9% (56th)    < 0.1         
gpgv                2.2.40-1.1               (won't fix)              deb   CVE-2026-57062    Low         0.1% (4th)     < 0.1         
libsystemd0         252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-40226    Medium      < 0.1% (0th)   < 0.1         
libudev1            252.22-1~deb12u1         252.39-1~deb12u2         deb   CVE-2026-40226    Medium      < 0.1% (0th)   < 0.1         
libgssapi-krb5-2    1.20.1-2+deb12u1                                  deb   CVE-2024-26458    Negligible  0.8% (53rd)    < 0.1         
libk5crypto3        1.20.1-2+deb12u1                                  deb   CVE-2024-26458    Negligible  0.8% (53rd)    < 0.1         
libkrb5-3           1.20.1-2+deb12u1                                  deb   CVE-2024-26458    Negligible  0.8% (53rd)    < 0.1         
libkrb5support0     1.20.1-2+deb12u1                                  deb   CVE-2024-26458    Negligible  0.8% (53rd)    < 0.1         
libheif1            1.15.1-1                                          deb   CVE-2023-49463    Negligible  0.8% (52nd)    < 0.1         
gcc-12-base         12.2.0-14                12.2.0-14+deb12u1        deb   CVE-2023-4039     Negligible  0.8% (51st)    < 0.1         
libgcc-s1           12.2.0-14                12.2.0-14+deb12u1        deb   CVE-2023-4039     Negligible  0.8% (51st)    < 0.1         
libstdc++6          12.2.0-14                12.2.0-14+deb12u1        deb   CVE-2023-4039     Negligible  0.8% (51st)    < 0.1         
sed                 4.9-1                    4.9-1+deb12u1            deb   CVE-2026-5958     Low         0.1% (3rd)     < 0.1         
libheif1            1.15.1-1                                          deb   CVE-2024-25269    Negligible  0.7% (49th)    < 0.1         
libc-bin            2.36-9+deb12u7                                    deb   CVE-2026-6368     Low         0.1% (1st)     < 0.1         
libc6               2.36-9+deb12u7                                    deb   CVE-2026-6368     Low         0.1% (1st)     < 0.1         
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2011-4116     Negligible  0.5% (41st)    < 0.1         
libpng16-16         1.6.39-2                                          deb   CVE-2021-4214     Negligible  0.5% (40th)    < 0.1         
libsystemd0         252.22-1~deb12u1                                  deb   CVE-2013-4392     Negligible  0.5% (38th)    < 0.1         
libudev1            252.22-1~deb12u1                                  deb   CVE-2013-4392     Negligible  0.5% (38th)    < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2025-15079    Negligible  0.5% (38th)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2025-15079    Negligible  0.5% (38th)    < 0.1         
bsdutils            1:2.38.1-5+deb12u1                                deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
libblkid1           2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
libmount1           2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
libsmartcols1       2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
libuuid1            2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
mount               2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
util-linux          2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
util-linux-extra    2.38.1-5+deb12u1                                  deb   CVE-2022-0563     Negligible  0.4% (35th)    < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2025-15224    Negligible  0.4% (34th)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2025-15224    Negligible  0.4% (34th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2023-6228     Negligible  0.4% (32nd)    < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2025-10966    Negligible  0.4% (32nd)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2025-10966    Negligible  0.4% (32nd)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2023-1916     Negligible  0.4% (31st)    < 0.1         
libexpat1           2.5.0-1                                           deb   CVE-2023-52426    Negligible  0.4% (30th)    < 0.1         
libssl3             3.0.11-1~deb12u2                                  deb   CVE-2025-27587    Negligible  0.4% (29th)    < 0.1         
openssl             3.0.11-1~deb12u2                                  deb   CVE-2025-27587    Negligible  0.4% (29th)    < 0.1         
libldap-2.5-0       2.5.13+dfsg-5                                     deb   CVE-2017-14159    Negligible  0.3% (27th)    < 0.1         
libsystemd0         252.22-1~deb12u1                                  deb   CVE-2023-31439    Negligible  0.3% (27th)    < 0.1         
libudev1            252.22-1~deb12u1                                  deb   CVE-2023-31439    Negligible  0.3% (27th)    < 0.1         
coreutils           9.1-1                                             deb   CVE-2017-18018    Negligible  0.3% (27th)    < 0.1         
libsystemd0         252.22-1~deb12u1                                  deb   CVE-2023-31437    Negligible  0.3% (26th)    < 0.1         
libudev1            252.22-1~deb12u1                                  deb   CVE-2023-31437    Negligible  0.3% (26th)    < 0.1         
libsystemd0         252.22-1~deb12u1                                  deb   CVE-2023-31438    Negligible  0.3% (25th)    < 0.1         
libudev1            252.22-1~deb12u1                                  deb   CVE-2023-31438    Negligible  0.3% (25th)    < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2026-9547     Negligible  0.3% (25th)    < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2026-9547     Negligible  0.3% (25th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2023-3164     Negligible  0.3% (24th)    < 0.1         
gpgv                2.2.40-1.1                                        deb   CVE-2022-3219     Negligible  0.3% (21st)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-8177     Negligible  0.3% (19th)    < 0.1         
perl-base           5.36.0-7+deb12u1                                  deb   CVE-2026-48961    Negligible  0.3% (17th)    < 0.1         
libgssapi-krb5-2    1.20.1-2+deb12u1                                  deb   CVE-2026-11850    Negligible  0.3% (17th)    < 0.1         
libk5crypto3        1.20.1-2+deb12u1                                  deb   CVE-2026-11850    Negligible  0.3% (17th)    < 0.1         
libkrb5-3           1.20.1-2+deb12u1                                  deb   CVE-2026-11850    Negligible  0.3% (17th)    < 0.1         
libkrb5support0     1.20.1-2+deb12u1                                  deb   CVE-2026-11850    Negligible  0.3% (17th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-61144    Negligible  0.3% (16th)    < 0.1         
diffutils           1:3.8-4                                           deb   CVE-2026-53910    Negligible  0.3% (16th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-8176     Negligible  0.2% (14th)    < 0.1         
coreutils           9.1-1                                             deb   CVE-2025-5278     Negligible  0.2% (14th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-9165     Negligible  0.2% (11th)    < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-8961     Negligible  0.2% (10th)    < 0.1         
bsdutils            1:2.38.1-5+deb12u1                                deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
libblkid1           2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
libmount1           2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
libsmartcols1       2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
libuuid1            2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
mount               2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
util-linux          2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
util-linux-extra    2.38.1-5+deb12u1                                  deb   CVE-2025-14104    Negligible  0.2% (9th)     < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-8534     Negligible  0.2% (7th)     < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-8851     Negligible  0.2% (7th)     < 0.1         
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2025-61147    Negligible  0.2% (5th)     < 0.1         
coreutils           9.1-1                                             deb   CVE-2026-56392    Negligible  0.1% (4th)     < 0.1         
libxml2             2.9.14+dfsg-1.3~deb12u1                           deb   CVE-2026-11979    Negligible  0.1% (4th)     < 0.1         
libpng16-16         1.6.39-2                 (won't fix)              deb   CVE-2025-28162    Negligible  0.1% (3rd)     < 0.1         
libpng16-16         1.6.39-2                                          deb   CVE-2025-28164    Negligible  0.1% (3rd)     < 0.1         
coreutils           9.1-1                                             deb   CVE-2026-56391    Negligible  0.1% (3rd)     < 0.1         
libldap-2.5-0       2.5.13+dfsg-5                                     deb   CVE-2026-22185    Negligible  0.1% (3rd)     < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-61145    Negligible  0.1% (3rd)     < 0.1         
libpng16-16         1.6.39-2                                          deb   CVE-2026-3713     Negligible  0.1% (2nd)     < 0.1         
libheif1            1.15.1-1                                          deb   CVE-2026-3949     Negligible  0.1% (1st)     < 0.1         
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2025-61143    Negligible  0.1% (1st)     < 0.1         
curl                7.88.1-10+deb12u5                                 deb   CVE-2025-14017    Negligible  0.1% (1st)     < 0.1         
libcurl4            7.88.1-10+deb12u5                                 deb   CVE-2025-14017    Negligible  0.1% (1st)     < 0.1         
bsdutils            1:2.38.1-5+deb12u1                                deb   CVE-2026-53613    Unknown     N/A            N/A           
bsdutils            1:2.38.1-5+deb12u1                                deb   CVE-2026-53615    Unknown     N/A            N/A           
libblkid1           2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
libblkid1           2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-54240    Unknown     N/A            N/A           
libde265-0          1.0.11-1+deb12u2                                  deb   CVE-2026-54241    Unknown     N/A            N/A           
libgd3              2.3.3-9                  2.3.3-9+deb12u1          deb   CVE-2026-9672     Unknown     N/A            N/A           
libheif1            1.15.1-1                                          deb   CVE-2026-50142    Unknown     N/A            N/A           
libheif1            1.15.1-1                                          deb   CVE-2026-62289    Unknown     N/A            N/A           
libheif1            1.15.1-1                                          deb   CVE-2026-62292    Unknown     N/A            N/A           
libmount1           2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
libmount1           2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
libsmartcols1       2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
libsmartcols1       2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
libtiff6            4.5.0-6+deb12u1                                   deb   CVE-2026-36849    Unknown     N/A            N/A           
libuuid1            2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
libuuid1            2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
mount               2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
mount               2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
util-linux          2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
util-linux          2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A           
util-linux-extra    2.38.1-5+deb12u1                                  deb   CVE-2026-53613    Unknown     N/A            N/A           
util-linux-extra    2.38.1-5+deb12u1                                  deb   CVE-2026-53615    Unknown     N/A            N/A
